DOC_REF,DOC_DATE,GL_ACCT,NARRATIVE,AMT_DR,AMT_CR,USR_INPUT,USR_AUTH
DOC_001,2025-12-01,1000,Petty Cash Replenish,200.00,0.00,finance_01,mgr_02
DOC_001,2025-12-01,1000,Cash Main,0.00,200.00,finance_01,mgr_02
DOC_002,2023-12-31,5000,Prior Year Adjustment,50000.00,0.00,controller,cfo_01
DOC_002,2023-12-31,2000,Retained Earnings,0.00,50000.00,controller,cfo_01
DOC_003,2025-12-25,6000,Holiday Party,1500.00,0.00,event_lead,finance_01
DOC_003,2025-12-25,1000,Cash Main,0.00,1500.00,event_lead,finance_01
DOC_004,2025-12-20,4000,Auto-Reversal,0.00,100.00,SYSTEM,SYSTEM
DOC_004,2025-12-20,2000,Accrual,100.00,0.00,SYSTEM,SYSTEM
DOC_005,2025-12-28,5000,Consulting,4000.00,0.00,j_doe,j_doe
DOC_005,2025-12-28,1000,Cash,0.00,4000.00,j_doe,j_doe
