CoCd,Doc_No,Doc_Type,Pstng_Date,Doc_Date,GL_Account,GL_Description,Debit_LC,Credit_LC,Entered_By,Approved_By,TCode
US01,10000001,SA,2025-01-04,2025-01-04,500000,Office Supplies,450.00,0.00,BSMITH,MJONES,FB50
US01,10000001,SA,2025-01-04,2025-01-04,101000,Cash - Operating,0.00,450.00,BSMITH,MJONES,FB50
US01,10000002,KR,2025-01-02,2025-01-02,510000,Travel & Ent,1200.50,0.00,AKAPOOR,AKAPOOR,FB50
US01,10000002,KR,2025-01-02,2025-01-02,101000,Cash - Operating,0.00,1200.50,AKAPOOR,AKAPOOR,FB50
US01,10000003,SA,2025-01-05,2025-01-05,520000,Consulting Svcs,5000.00,0.00,CWANG,DLEE,FB50
US01,10000003,SA,2025-01-05,2025-01-05,101000,Cash - Operating,0.00,5000.00,CWANG,DLEE,FB50
US01,10000004,KZ,2025-01-06,2025-01-06,200100,Accounts Payable,3200.00,0.00,SYSADMIN,SYSADMIN,FB50
US01,10000004,KZ,2025-01-06,2025-01-06,101000,Cash - Operating,0.00,3200.00,SYSADMIN,SYSADMIN,FB50
US01,10000005,DR,2025-01-07,2025-01-07,400000,Sales Revenue - Dom,0.00,15000.00,MJONES,BSMITH,FB50
US01,10000005,DR,2025-01-07,2025-01-07,101000,Cash - Operating,15000.00,0.00,MJONES,BSMITH,FB50
US01,10000010,SA,2025-01-08,2025-01-08,500000,Office Supplies,250.00,0.00,DLEE,CWANG,FB50
US01,10000010,SA,2025-01-08,2025-01-08,101000,Cash - Operating,0.00,250.00,DLEE,CWANG,FB50
US01,10000510,SA,2025-01-08,2025-01-08,500000,Office Supplies,250.00,0.00,DLEE,CWANG,FB50
US01,10000510,SA,2025-01-08,2025-01-08,101000,Cash - Operating,0.00,250.00,DLEE,CWANG,FB50
